"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"02/21/2021 18:10:12:279 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean-of-vision","mean-of-metabolism","mean [metabolism] of turtles","mean [vision] of turtles","(count turtles) / (initial-population)","(count good_vision_turtles) / (initial-population)","(count good_metabolism_turtles) / (initial-population)","(count bad_vision_turtles) / (initial-population)","(count bad_metabolism_turtles) / (initial-population)"
"42","no-visualization","140","100","99","3.5785714285714287","2.4571428571428573","1.9292929292929293","3.8383838383838382","0.7071428571428572","0.40714285714285714","0.5","0.3","0.20714285714285716"
"43","no-visualization","140","100","93","3.4571428571428573","2.4785714285714286","2.021505376344086","3.5913978494623655","0.6642857142857143","0.3357142857142857","0.45","0.32857142857142857","0.21428571428571427"
"44","no-visualization","140","100","88","3.585714285714286","2.5142857142857142","1.9545454545454546","3.8295454545454546","0.6285714285714286","0.37142857142857144","0.45714285714285713","0.2571428571428571","0.17142857142857143"
"45","no-visualization","140","100","78","3.642857142857143","2.7214285714285715","2.1153846153846154","3.948717948717949","0.5571428571428572","0.37142857142857144","0.32857142857142857","0.18571428571428572","0.22857142857142856"
"46","no-visualization","140","100","87","3.392857142857143","2.4285714285714284","1.8735632183908046","3.7011494252873565","0.6214285714285714","0.35","0.4357142857142857","0.2714285714285714","0.18571428571428572"
"48","no-visualization","140","100","86","3.55","2.5357142857142856","1.9186046511627908","3.5930232558139537","0.6142857142857143","0.3142857142857143","0.42857142857142855","0.3","0.18571428571428572"
"47","no-visualization","140","100","94","3.6142857142857143","2.45","2.095744680851064","3.9148936170212765","0.6714285714285714","0.4357142857142857","0.42142857142857143","0.2357142857142857","0.25"
"49","no-visualization","140","100","87","3.4785714285714286","2.5214285714285714","1.9770114942528736","3.8275862068965516","0.6214285714285714","0.37142857142857144","0.40714285714285714","0.25","0.21428571428571427"
"50","no-visualization","140","100","92","3.5214285714285714","2.4785714285714286","2.010869565217391","3.891304347826087","0.6571428571428571","0.37142857142857144","0.44285714285714284","0.2857142857142857","0.21428571428571427"
"51","no-visualization","140","100","95","3.7","2.507142857142857","2.0210526315789474","3.863157894736842","0.6785714285714286","0.39285714285714285","0.45714285714285713","0.2857142857142857","0.22142857142857142"
"54","no-visualization","140","100","92","3.5785714285714287","2.407142857142857","1.9456521739130435","4.032608695652174","0.6571428571428571","0.39285714285714285","0.45","0.2642857142857143","0.20714285714285716"
"53","no-visualization","140","100","90","3.492857142857143","2.4785714285714286","1.9666666666666666","3.7333333333333334","0.6428571428571429","0.34285714285714286","0.45","0.3","0.19285714285714287"
"56","no-visualization","140","100","87","3.2928571428571427","2.592857142857143","2.0689655172413794","3.4942528735632186","0.6214285714285714","0.32142857142857145","0.42142857142857143","0.3","0.2"
"55","no-visualization","140","100","94","3.5642857142857145","2.4785714285714286","1.9148936170212767","3.797872340425532","0.6714285714285714","0.38571428571428573","0.4714285714285714","0.2857142857142857","0.2"
"52","no-visualization","140","100","95","3.7142857142857144","2.4357142857142855","1.8526315789473684","3.8","0.6785714285714286","0.42857142857142855","0.4857142857142857","0.25","0.19285714285714287"
"57","no-visualization","140","100","96","3.642857142857143","2.4357142857142855","1.875","3.8333333333333335","0.6857142857142857","0.4357142857142857","0.5214285714285715","0.25","0.16428571428571428"
"58","no-visualization","140","100","80","3.6214285714285714","2.5285714285714285","1.8","3.825","0.5714285714285714","0.3357142857142857","0.42142857142857143","0.2357142857142857","0.15"
"59","no-visualization","140","100","87","3.5214285714285714","2.557142857142857","1.9540229885057472","3.8160919540229883","0.6214285714285714","0.37142857142857144","0.45","0.25","0.17142857142857143"
"60","no-visualization","140","100","102","3.607142857142857","2.3642857142857143","2","3.6470588235294117","0.7285714285714285","0.35714285714285715","0.4928571428571429","0.37142857142857144","0.2357142857142857"
"62","no-visualization","160","100","94","3.38125","2.56875","1.851063829787234","3.595744680851064","0.5875","0.33125","0.43125","0.25625","0.15625"
"61","no-visualization","160","100","95","3.4375","2.5875","2.0105263157894737","3.6842105263157894","0.59375","0.3125","0.39375","0.28125","0.2"
"63","no-visualization","160","100","100","3.46875","2.58125","1.99","3.61","0.625","0.325","0.4375","0.3","0.1875"
"65","no-visualization","160","100","110","3.73125","2.3875","1.9545454545454546","4.0181818181818185","0.6875","0.41875","0.45","0.26875","0.2375"
"66","no-visualization","160","100","100","3.575","2.5","1.95","3.97","0.625","0.39375","0.45625","0.23125","0.16875"
"64","no-visualization","160","100","98","3.39375","2.4625","1.8775510204081634","3.7857142857142856","0.6125","0.34375","0.4375","0.26875","0.175"
"67","no-visualization","160","100","105","3.6625","2.375","1.7904761904761906","3.7714285714285714","0.65625","0.36875","0.53125","0.2875","0.125"
"68","no-visualization","160","100","117","3.525","2.14375","1.811965811965812","3.675213675213675","0.73125","0.39375","0.56875","0.3375","0.1625"
"69","no-visualization","160","100","96","3.5125","2.59375","1.9895833333333333","3.7083333333333335","0.6","0.33125","0.425","0.26875","0.175"
"71","no-visualization","160","100","96","3.49375","2.44375","1.8333333333333333","3.7708333333333335","0.6","0.34375","0.4625","0.25625","0.1375"
"70","no-visualization","160","100","92","3.55","2.59375","1.8695652173913044","3.967391304347826","0.575","0.3375","0.4375","0.2375","0.1375"
"72","no-visualization","160","100","103","3.60625","2.46875","1.9805825242718447","3.8446601941747574","0.64375","0.3625","0.44375","0.28125","0.2"
"73","no-visualization","160","100","105","3.35625","2.45625","2","3.3904761904761904","0.65625","0.33125","0.4625","0.325","0.19375"
"74","no-visualization","160","100","102","3.5625","2.46875","1.9019607843137254","3.6862745098039214","0.6375","0.3375","0.46875","0.3","0.16875"
"75","no-visualization","160","100","95","3.6375","2.5375","1.936842105263158","3.736842105263158","0.59375","0.325","0.4375","0.26875","0.15625"
"76","no-visualization","160","100","92","3.44375","2.625","1.9891304347826086","3.6630434782608696","0.575","0.31875","0.39375","0.25625","0.18125"
"77","no-visualization","160","100","88","3.50625","2.55","1.8068181818181819","3.8181818181818183","0.55","0.34375","0.41875","0.20625","0.13125"
"78","no-visualization","160","100","106","3.48125","2.475","1.9245283018867925","3.9150943396226414","0.6625","0.425","0.4625","0.2375","0.2"
"80","no-visualization","160","100","102","3.6","2.55","2.0098039215686274","3.7450980392156863","0.6375","0.34375","0.4125","0.29375","0.225"
"79","no-visualization","160","100","100","3.6375","2.48125","2.03","3.88","0.625","0.35625","0.43125","0.26875","0.19375"
"81","no-visualization","180","100","103","3.4","2.611111111111111","1.9029126213592233","3.7864077669902914","0.5722222222222222","0.34444444444444444","0.4222222222222222","0.22777777777777777","0.15"
"83","no-visualization","180","100","114","3.5166666666666666","2.4722222222222223","1.9736842105263157","3.6228070175438596","0.6333333333333333","0.3333333333333333","0.4166666666666667","0.3","0.21666666666666667"
"82","no-visualization","180","100","119","3.511111111111111","2.4722222222222223","1.9831932773109244","3.8151260504201683","0.6611111111111111","0.3888888888888889","0.4111111111111111","0.2722222222222222","0.25"
"85","no-visualization","180","100","112","3.466666666666667","2.45","1.8303571428571428","3.5625","0.6222222222222222","0.3277777777777778","0.4444444444444444","0.29444444444444445","0.17777777777777778"
"84","no-visualization","180","100","119","3.45","2.4277777777777776","1.8823529411764706","3.80672268907563","0.6611111111111111","0.3888888888888889","0.48333333333333334","0.2722222222222222","0.17777777777777778"
"86","no-visualization","180","100","107","3.5388888888888888","2.522222222222222","1.9065420560747663","3.7009345794392523","0.5944444444444444","0.3333333333333333","0.43333333333333335","0.2611111111111111","0.16111111111111112"
"87","no-visualization","180","100","118","3.5055555555555555","2.4833333333333334","1.9491525423728813","3.6016949152542375","0.6555555555555556","0.3611111111111111","0.45","0.29444444444444445","0.20555555555555555"
"89","no-visualization","180","100","102","3.388888888888889","2.6","1.9215686274509804","3.6372549019607843","0.5666666666666667","0.3","0.39444444444444443","0.26666666666666666","0.17222222222222222"
"88","no-visualization","180","100","112","3.566666666666667","2.438888888888889","1.7857142857142858","3.7767857142857144","0.6222222222222222","0.35555555555555557","0.48333333333333334","0.26666666666666666","0.1388888888888889"
"90","no-visualization","180","100","116","3.3944444444444444","2.4944444444444445","2.0086206896551726","3.689655172413793","0.6444444444444445","0.34444444444444444","0.40555555555555556","0.3","0.2388888888888889"
"91","no-visualization","180","100","109","3.55","2.5166666666666666","1.8807339449541285","3.6788990825688073","0.6055555555555555","0.32222222222222224","0.4388888888888889","0.2833333333333333","0.16666666666666666"
"92","no-visualization","180","100","108","3.3722222222222222","2.5722222222222224","1.9259259259259258","3.5","0.6","0.2833333333333333","0.4166666666666667","0.31666666666666665","0.18333333333333332"
"93","no-visualization","180","100","113","3.611111111111111","2.411111111111111","1.8672566371681416","3.7168141592920354","0.6277777777777778","0.32222222222222224","0.43333333333333335","0.3055555555555556","0.19444444444444445"
"94","no-visualization","180","100","116","3.4055555555555554","2.511111111111111","2.0086206896551726","3.7672413793103448","0.6444444444444445","0.37777777777777777","0.45","0.26666666666666666","0.19444444444444445"
"95","no-visualization","180","100","115","3.6777777777777776","2.466666666666667","1.9739130434782608","3.9130434782608696","0.6388888888888888","0.37777777777777777","0.45","0.2611111111111111","0.18888888888888888"
"96","no-visualization","180","100","108","3.6","2.566666666666667","1.9537037037037037","3.8425925925925926","0.6","0.3333333333333333","0.43333333333333335","0.26666666666666666","0.16666666666666666"
"97","no-visualization","180","100","119","3.5277777777777777","2.438888888888889","1.8571428571428572","3.6218487394957983","0.6611111111111111","0.35","0.4888888888888889","0.3111111111111111","0.17222222222222222"
"98","no-visualization","180","100","115","3.511111111111111","2.488888888888889","1.9304347826086956","3.6695652173913045","0.6388888888888888","0.34444444444444444","0.4666666666666667","0.29444444444444445","0.17222222222222222"
"100","no-visualization","180","100","98","3.5277777777777777","2.6","1.836734693877551","3.795918367346939","0.5444444444444444","0.29444444444444445","0.4","0.25","0.14444444444444443"
"101","no-visualization","200","100","122","3.55","2.495","1.8688524590163935","3.6721311475409837","0.61","0.32","0.435","0.29","0.175"
