[run number],visualization,initial-population,[step],count turtles,mean-of-vision,mean-of-metabolism,mean [metabolism] of turtles,mean [vision] of turtles,(count turtles) / (initial-population),(count good_vision_turtles) / (initial-population),(count good_metabolism_turtles) / (initial-population),(count bad_vision_turtles) / (initial-population),(count bad_metabolism_turtles) / (initial-population)
2,no-visualization,120,100,77,3.508333333,2.483333333,2.142857143,3.714285714,0.641666667,0.366666667,0.416666667,0.275,0.225
4,no-visualization,160,100,97,3.35,2.5125,1.958762887,3.628865979,0.60625,0.325,0.44375,0.28125,0.1625
3,no-visualization,140,100,88,3.528571429,2.457142857,2.079545455,3.863636364,0.628571429,0.357142857,0.428571429,0.271428571,0.2
5,no-visualization,180,100,120,3.538888889,2.572222222,2.091666667,3.7,0.666666667,0.4,0.444444444,0.266666667,0.222222222
6,no-visualization,200,100,130,3.45,2.575,2.107692308,3.715384615,0.65,0.355,0.435,0.295,0.215
7,no-visualization,220,100,141,3.622727273,2.486363636,2.070921986,3.914893617,0.640909091,0.386363636,0.436363636,0.254545455,0.204545455
8,no-visualization,240,100,145,3.570833333,2.5,2.062068966,3.931034483,0.604166667,0.341666667,0.408333333,0.2625,0.195833333
9,no-visualization,260,100,153,3.453846154,2.611538462,2.058823529,3.725490196,0.588461538,0.342307692,0.407692308,0.246153846,0.180769231
11,no-visualization,300,100,180,3.493333333,2.61,2.094444444,3.783333333,0.6,0.336666667,0.386666667,0.263333333,0.213333333
10,no-visualization,280,100,189,3.635714286,2.357142857,1.920634921,3.941798942,0.675,0.421428571,0.517857143,0.253571429,0.157142857
12,no-visualization,320,100,210,3.7875,2.525,2.023809524,3.947619048,0.65625,0.396875,0.4625,0.259375,0.19375
13,no-visualization,340,100,202,3.567647059,2.617647059,2.163366337,3.821782178,0.594117647,0.358823529,0.397058824,0.235294118,0.197058824
14,no-visualization,360,100,208,3.269444444,2.5,1.975961538,3.538461538,0.577777778,0.297222222,0.419444444,0.280555556,0.158333333
15,no-visualization,380,100,237,3.528947368,2.481578947,1.898734177,3.721518987,0.623684211,0.339473684,0.465789474,0.284210526,0.157894737
16,no-visualization,400,100,241,3.5125,2.52,2.062240664,3.721991701,0.6025,0.3225,0.4,0.28,0.2025
17,no-visualization,420,100,263,3.511904762,2.521428571,2.034220532,3.74904943,0.626190476,0.352380952,0.428571429,0.273809524,0.197619048
18,no-visualization,440,100,275,3.411363636,2.565909091,2.061818182,3.618181818,0.625,0.336363636,0.420454545,0.288636364,0.204545455
19,no-visualization,460,100,288,3.495652174,2.469565217,1.934027778,3.697916667,0.626086957,0.336956522,0.447826087,0.289130435,0.17826087
20,no-visualization,480,100,293,3.472916667,2.5,1.976109215,3.692832765,0.610416667,0.320833333,0.433333333,0.289583333,0.177083333
1,no-visualization,100,100,61,3.57,2.48,1.967213115,3.786885246,0.61,0.35,0.42,0.26,0.19
21,no-visualization,500,100,307,3.552,2.564,2.084690554,3.830618893,0.614,0.354,0.416,0.26,0.198
22,no-visualization,520,100,347,3.484615385,2.438461538,1.956772334,3.711815562,0.667307692,0.373076923,0.490384615,0.294230769,0.176923077
23,no-visualization,540,100,338,3.401851852,2.47962963,1.964497041,3.710059172,0.625925926,0.344444444,0.437037037,0.281481481,0.188888889
24,no-visualization,560,100,341,3.526785714,2.4875,1.91202346,3.741935484,0.608928571,0.342857143,0.451785714,0.266071429,0.157142857
25,no-visualization,580,100,352,3.537931034,2.565517241,2.0625,3.786931818,0.606896552,0.351724138,0.424137931,0.255172414,0.182758621
26,no-visualization,600,100,358,3.52,2.645,2.12849162,3.779329609,0.596666667,0.333333333,0.393333333,0.263333333,0.203333333
27,no-visualization,620,100,385,3.564516129,2.509677419,2.038961039,3.794805195,0.620967742,0.359677419,0.443548387,0.261290323,0.177419355
29,no-visualization,660,100,397,3.509090909,2.578787879,2.032745592,3.712846348,0.601515152,0.333333333,0.427272727,0.268181818,0.174242424
28,no-visualization,640,100,398,3.559375,2.5234375,2.002512563,3.851758794,0.621875,0.3828125,0.4578125,0.2390625,0.1640625
30,no-visualization,680,100,432,3.480882353,2.455882353,1.958333333,3.775462963,0.635294118,0.358823529,0.445588235,0.276470588,0.189705882
31,no-visualization,700,100,436,3.597142857,2.53,2.03440367,3.791284404,0.622857143,0.354285714,0.424285714,0.268571429,0.198571429
32,no-visualization,720,100,436,3.530555556,2.502777778,2.004587156,3.830275229,0.605555556,0.345833333,0.434722222,0.259722222,0.170833333
33,no-visualization,740,100,448,3.336486486,2.481081081,1.955357143,3.627232143,0.605405405,0.325675676,0.443243243,0.27972973,0.162162162
34,no-visualization,760,100,460,3.434210526,2.493421053,2.002173913,3.689130435,0.605263158,0.319736842,0.434210526,0.285526316,0.171052632
35,no-visualization,780,100,501,3.648717949,2.464102564,1.966067864,3.880239521,0.642307692,0.392307692,0.452564103,0.25,0.18974359
36,no-visualization,800,100,501,3.54375,2.4775,1.946107784,3.724550898,0.62625,0.3425,0.4575,0.28375,0.16875
37,no-visualization,820,100,484,3.437804878,2.469512195,1.890495868,3.636363636,0.590243902,0.315853659,0.441463415,0.274390244,0.148780488
38,no-visualization,840,100,494,3.463095238,2.441666667,1.886639676,3.714574899,0.588095238,0.333333333,0.446428571,0.254761905,0.141666667
39,no-visualization,860,100,524,3.545348837,2.519767442,2.005725191,3.833969466,0.609302326,0.358139535,0.434883721,0.251162791,0.174418605
40,no-visualization,880,100,530,3.578409091,2.5375,2.01509434,3.790566038,0.602272727,0.364772727,0.425,0.2375,0.177272727
47,no-visualization,100,100,64,3.59,2.56,2.0625,4.015625,0.64,0.38,0.46,0.26,0.18
41,no-visualization,900,100,533,3.538888889,2.535555556,2.003752345,3.774859287,0.592222222,0.334444444,0.414444444,0.257777778,0.177777778
42,no-visualization,920,100,559,3.409782609,2.459782609,1.910554562,3.602862254,0.607608696,0.327173913,0.45,0.280434783,0.157608696
48,no-visualization,120,100,70,3.458333333,2.416666667,1.914285714,3.657142857,0.583333333,0.325,0.433333333,0.258333333,0.15
