[run number],visualization,initial-population,[step],count turtles,mean-of-vision,mean-of-metabolism,mean [metabolism] of turtles,mean [vision] of turtles,(count turtles) / (initial-population),(count good_vision_turtles) / (initial-population),(count good_metabolism_turtles) / (initial-population),(count bad_vision_turtles) / (initial-population),(count bad_metabolism_turtles) / (initial-population)
686,no-visualization,780,100,361,3.514102564,2.457692308,1.493074792,3.603878116,0.462820513,0.238461538,0.462820513,0.224358974,0
687,no-visualization,780,100,342,3.523076923,2.53974359,1.532163743,3.842105263,0.438461538,0.262820513,0.433333333,0.175641026,0.005128205
685,no-visualization,780,100,357,3.423076923,2.443589744,1.462184874,3.543417367,0.457692308,0.243589744,0.446153846,0.214102564,0.011538462
688,no-visualization,780,100,333,3.429487179,2.551282051,1.513513514,3.627627628,0.426923077,0.234615385,0.408974359,0.192307692,0.017948718
689,no-visualization,780,100,349,3.447435897,2.515384615,1.52722063,3.478510029,0.447435897,0.220512821,0.433333333,0.226923077,0.014102564
690,no-visualization,780,100,345,3.408974359,2.479487179,1.47826087,3.579710145,0.442307692,0.230769231,0.435897436,0.211538462,0.006410256
691,no-visualization,780,100,351,3.461538462,2.498717949,1.498575499,3.766381766,0.45,0.255128205,0.443589744,0.194871795,0.006410256
692,no-visualization,780,100,361,3.516666667,2.498717949,1.495844875,3.620498615,0.462820513,0.242307692,0.452564103,0.220512821,0.01025641
693,no-visualization,780,100,342,3.476923077,2.574358974,1.51754386,3.532163743,0.438461538,0.228205128,0.434615385,0.21025641,0.003846154
694,no-visualization,780,100,338,3.444871795,2.541025641,1.532544379,3.677514793,0.433333333,0.23974359,0.415384615,0.193589744,0.017948718
695,no-visualization,780,100,359,3.501282051,2.478205128,1.479108635,3.629526462,0.46025641,0.248717949,0.448717949,0.211538462,0.011538462
696,no-visualization,780,100,345,3.555128205,2.493589744,1.463768116,3.750724638,0.442307692,0.244871795,0.438461538,0.197435897,0.003846154
697,no-visualization,780,100,345,3.465384615,2.493589744,1.486956522,3.507246377,0.442307692,0.229487179,0.438461538,0.212820513,0.003846154
698,no-visualization,780,100,334,3.41025641,2.53974359,1.52994012,3.640718563,0.428205128,0.229487179,0.419230769,0.198717949,0.008974359
699,no-visualization,780,100,368,3.458974359,2.435897436,1.464673913,3.532608696,0.471794872,0.25,0.464102564,0.221794872,0.007692308
700,no-visualization,780,100,369,3.452564103,2.45,1.47696477,3.514905149,0.473076923,0.233333333,0.470512821,0.23974359,0.002564103
701,no-visualization,800,100,341,3.43,2.51375,1.530791789,3.648093842,0.42625,0.22375,0.41,0.2025,0.01625
702,no-visualization,800,100,349,3.4525,2.5075,1.481375358,3.607449857,0.43625,0.2325,0.42875,0.20375,0.0075
